RankRank,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
18,Nervini,ITA,0,0,3,0.0,0.0,3
18,Fahr,ITA,0,1,0,0.0,0.0,1
18,Giovannini,ITA,0,0,0,,,0
18,Antropova,ITA,0,0,2,0.0,0.0,2
18,Hentz,USA,0,0,0,,,0
18,Rodriguez,USA,0,0,6,0.0,0.0,6
18,Butler,USA,0,0,0,,,0
18,M. Skinner,USA,0,0,0,,,0
18,Igiede,USA,0,0,2,0.0,0.0,2
18,Rettke,USA,0,0,1,0.0,0.0,1
18,Lanier,USA,0,0,0,,,0
18,Franklin,USA,0,0,1,0.0,0.0,1
18,Jimerson,USA,0,0,0,,,0
18,Ka'aha'aina-Torres,USA,0,0,0,,,0
18,Eggleston,USA,0,0,0,,,0
18,Samedy,USA,0,0,1,0.0,0.0,1
18,Gryka,POL,0,0,0,,,0
18,Stysiak,POL,0,1,11,0.0,0.0,12
18,Piasecka,POL,0,0,0,,,0
18,Łysiak,POL,0,0,0,,,0
18,Centka-Tietianiec,POL,0,0,0,,,0
18,Damaske,POL,0,0,0,,,0
18,Jurczyk,POL,0,0,1,0.0,0.0,1
18,Tang X.,CHN,0,0,0,,,0
18,Gong X.Y.,CHN,0,0,3,0.0,0.0,3
18,Wang Y.Y.,CHN,0,0,2,0.0,0.0,2
18,Wan Z. Y.,CHN,0,0,0,,,0
18,Fan B. N.,CHN,0,0,0,,,0
18,Dong Y. H.,CHN,0,0,0,,,0
18,Chen H. Y.,CHN,0,0,4,0.0,0.0,4
18,Wang A. Q.,CHN,0,0,0,,,0
18,Wang M.J.,CHN,0,0,0,,,0
18,Diana,BRA,0,0,7,0.0,0.0,7
18,Lorena,BRA,0,0,0,,,0
18,Helena,BRA,0,0,1,0.0,0.0,1
18,Kisy,BRA,0,0,0,,,0
18,Jheovana,BRA,0,0,0,,,0
18,Tainara,BRA,0,0,0,,,0
18,Lais,BRA,0,0,0,,,0
18,Cesar,GER,0,0,0,,,0
18,Pogany,GER,0,0,9,0.0,0.0,9
18,Stautz,GER,0,0,0,,,0
18,Stigrot,GER,0,0,1,0.0,0.0,1
18,Weske,GER,0,0,0,,,0
18,Schölzel,GER,0,0,0,,,0
18,Kindermann,GER,0,1,0,0.0,0.0,1
18,Weitzel,GER,0,0,1,0.0,0.0,1
18,Strubbe,GER,0,0,0,,,0
18,Araki,JPN,0,0,2,0.0,0.0,2
18,Kojima,JPN,0,0,21,0.0,0.0,21
18,Yamada,JPN,0,0,0,,,0
18,Airi,JPN,0,0,2,0.0,0.0,2
18,Iwasawa,JPN,0,0,0,,,0
18,Kitamado,JPN,0,0,1,0.0,0.0,1
18,Örge,TUR,0,0,5,0.0,0.0,5
18,Aköz,TUR,0,0,2,0.0,0.0,2
18,Vargas,TUR,0,0,3,0.0,0.0,3
18,S. Sahin,TUR,0,0,0,,,0
18,Baladın,TUR,0,0,3,0.0,0.0,3
18,Uyanık,TUR,0,0,0,,,0
18,Ozden,TUR,0,0,0,,,0
18,Güneş,TUR,0,0,2,0.0,0.0,2
18,Kalaç,TUR,0,0,0,,,0
18,Erkek,TUR,0,0,3,0.0,0.0,3
18,Karutasu,TUR,0,0,0,,,0
18,Karakurt,TUR,0,0,0,,,0
