RankRank,Player NamePlayer,TeamTeam,Pointsserve-points,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
14,Diana,BRA,6,23,146,0.46,3.43,175
14,Lorena,BRA,6,9,52,0.4,8.96,67
14,Tainara,BRA,6,21,60,0.4,6.9,87
14,Thokbuom,CAN,6,15,96,0.6,5.13,117
14,Jiyun M.,KOR,6,10,29,0.5,13.33,45
14,Stautz,GER,6,7,64,0.46,7.79,77
14,Cekulaev,GER,6,5,106,0.46,5.13,117
14,Karakurt,TUR,6,6,69,0.67,7.41,81
15,Ozden,TUR,5,1,49,0.56,9.09,55
15,Van Sas,BEL,5,12,96,0.42,4.42,113
15,Herbots,BEL,5,11,98,0.62,4.39,114
15,Gerritsen,NED,5,15,69,0.42,5.62,89
15,Kok,NED,5,19,65,0.42,5.62,89
15,Danesi,ITA,5,5,185,0.33,2.56,195
15,Osmajic,SRB,5,11,52,0.42,7.35,68
15,Ivanović,SRB,5,15,79,0.42,5.05,99
15,Kneiflova,CZE,5,3,53,0.42,8.2,61
15,Valkova,CZE,5,11,157,0.42,2.89,173
15,Brancuska,CZE,5,18,104,0.42,3.94,127
15,Dimitrova N.,BUL,5,8,77,0.62,5.56,90
15,Fransen,CAN,5,7,40,1.25,9.62,52
15,SOHWI,KOR,5,12,109,0.42,3.97,126
15,Schölzel,GER,5,6,45,0.38,8.93,56
15,Kindermann,GER,5,18,72,0.38,5.26,95
15,Piasecka,POL,5,5,45,0.45,9.09,55
15,Rettke,USA,5,9,68,0.62,6.1,82
15,Jansen,NED,5,1,13,1.25,26.32,19
16,Haewegene,FRA,4,9,107,0.33,3.33,120
16,S. Thanacha,THA,4,12,49,0.33,6.15,65
16,Gryka,POL,4,7,75,0.27,4.65,86
16,Korneluk,POL,4,14,116,0.27,2.99,134
16,Grabka,POL,4,1,94,0.27,4.04,99
16,Koulberg,BEL,4,6,62,0.33,5.56,72
16,Ka'aha'aina-Torres,USA,4,4,100,0.44,3.7,108
16,Eggleston,USA,4,20,100,0.31,3.23,124
16,Orro,ITA,4,10,101,0.36,3.48,115
16,Peña Isabel,DOM,4,10,118,0.33,3.03,132
16,J. Martinez,DOM,4,12,97,0.33,3.54,113
16,Dangubić,SRB,4,7,113,0.33,3.23,124
16,Svobodova,CZE,4,8,15,0.33,14.81,27
16,Grozer,CZE,4,11,116,0.33,3.05,131
16,Bukovska,CZE,4,11,21,0.33,11.11,36
16,Macris,BRA,4,9,97,0.27,3.64,110
16,Vuchkova,BUL,4,8,97,0.5,3.67,109
16,Mitrovic,CAN,4,16,133,0.33,2.61,153
16,Johnson,CAN,4,7,96,0.33,3.74,107
16,Guezen,CAN,4,15,85,0.33,3.85,104
16,DAHYEON,KOR,4,12,88,0.33,3.85,104
16,Grozer,GER,4,9,33,0.5,8.7,46
16,White,CAN,4,4,78,0.4,4.65,86
17,G.Pornpun,THA,3,4,117,0.25,2.42,124
17,K.Pimpichaya,THA,3,6,118,0.25,2.36,127
17,K.Ajcharaporn,THA,3,5,61,0.25,4.35,69
17,T.Wimonrat,THA,3,9,91,0.25,2.91,103
17,Stysiak,POL,3,15,92,0.2,2.73,110
17,Smarzek,POL,3,5,62,0.2,4.29,70
17,Damaske,POL,3,2,43,0.2,6.25,48
17,Van Avermaet,BEL,3,2,72,0.38,3.9,77
17,Van De Vosse,NED,3,7,20,0.25,10.0,30
17,Fukazawa,JPN,3,6,41,0.25,6.0,50
17,Igiede,USA,3,6,83,0.33,3.26,92
17,Nwakalor L.,ITA,3,3,34,0.2,7.5,40
17,Giovannini,ITA,3,7,52,0.2,4.84,62
17,Matos,DOM,3,8,49,0.25,5.0,60
17,B. Martinez,DOM,3,15,142,0.25,1.88,160
17,Caraballo,DOM,3,9,49,0.25,4.92,61
17,Perović,SRB,3,14,70,0.3,3.45,87
17,Mlejnkova,CZE,3,10,126,0.25,2.16,139
17,Kitipova,BUL,3,4,58,0.38,4.62,65
17,Racheva,BUL,3,4,32,0.25,7.69,39
17,Pelland,CAN,3,7,73,0.25,3.61,83
17,Seoyoung,KOR,3,16,66,0.25,3.53,85
17,Krivoshiyska,BUL,3,3,60,0.38,4.55,66
17,Butler,USA,3,5,68,0.33,3.95,76
17,Fairbanks,USA,3,3,28,0.5,8.82,34
17,Bošković,SRB,3,4,42,0.75,6.12,49
17,Orthmann,GER,3,7,9,0.6,15.79,19
17,A. Skinner,USA,3,5,61,0.75,4.35,69
18,Schalk,FRA,2,5,42,0.18,4.08,49
18,Baladın,TUR,2,5,62,0.22,2.9,69
18,Diken,TUR,2,1,25,0.2,7.14,28
18,Özdemir,TUR,2,7,68,0.22,2.6,77
18,S. Donphon,THA,2,8,40,0.17,4.0,50
18,N.Thatdao,THA,2,12,118,0.17,1.52,132
18,M.Chatchu-On,THA,2,2,20,0.29,8.33,24
18,Różański,POL,2,5,17,0.5,8.33,24
18,Wang Y.Y.,CHN,2,10,137,0.15,1.34,149
18,Dong Y. H.,CHN,2,6,47,0.15,3.64,55
18,H. Jasper,NED,2,1,25,0.22,7.14,28
18,Baijens,NED,2,2,31,0.5,5.71,35
18,Arias,DOM,2,6,42,0.33,4.0,50
18,Puente,DOM,2,7,22,0.17,6.45,31
18,Mirković,SRB,2,16,95,0.17,1.77,113
18,Grabovska,CZE,2,3,27,0.17,6.25,32
18,Jheovana,BRA,2,9,29,0.15,5.0,40
18,Stanchulova,BUL,2,5,38,0.17,4.44,45
18,Tabacuks,GER,2,2,15,0.5,10.53,19
18,Poulter,USA,2,0,52,0.29,3.7,54
18,Wang A. Q.,CHN,2,2,32,0.18,5.56,36
18,Marinova,BUL,2,7,56,0.25,3.08,65
18,A. Saykova,BUL,2,5,53,0.25,3.33,60
18,Nervini,ITA,2,6,60,0.18,2.94,68
18,Rosamaria,BRA,2,3,74,0.22,2.53,79
18,Gabi,BRA,2,6,91,0.22,2.02,99
19,Ngolongolo,FRA,1,4,7,0.08,8.33,12
19,S. Sahin,TUR,1,6,53,0.08,1.67,60
19,Cebecioğlu,TUR,1,0,23,0.12,4.17,24
19,E. Şahin,TUR,1,3,59,0.08,1.59,63
19,B.Hattaya,THA,1,1,42,0.17,2.27,44
19,J.Natthanicha,THA,1,1,43,0.08,2.22,45
19,Pierzchała,POL,1,2,24,0.25,3.7,27
19,Wan Z. Y.,CHN,1,2,17,0.08,5.0,20
19,Nagels,BEL,1,6,56,0.08,1.59,63
19,Ten Brinke,NED,1,1,38,0.08,2.5,40
19,Shimamura,JPN,1,3,82,0.08,1.16,86
19,Franklin,USA,1,13,107,0.08,0.83,121
19,Babcock,USA,1,5,12,0.12,5.56,18
19,Powell,USA,1,4,31,0.25,2.78,36
19,McCage,USA,1,6,23,0.12,3.33,30
19,Cambi,ITA,1,2,69,0.07,1.39,72
19,Sylla,ITA,1,8,97,0.09,0.94,106
19,Omoruyi,ITA,1,2,38,0.12,2.44,41
19,Tapia,DOM,1,1,7,0.12,11.11,9
19,Gonzalez,DOM,1,4,46,0.08,1.96,51
19,Zelenovic,SRB,1,1,2,0.25,25.0,4
19,Jehlarova,CZE,1,16,86,0.08,0.97,103
19,Aline,BRA,1,1,13,0.25,6.67,15
19,Helena,BRA,1,3,11,0.07,6.67,15
19,Atanasijević,BUL,1,5,89,0.12,1.05,95
19,Milanova A.,BUL,1,9,162,0.08,0.58,172
19,Dudova,BUL,1,3,3,0.25,14.29,7
19,JUAH,KOR,1,1,17,0.08,5.26,19
19,Jua,KOR,1,3,10,0.08,7.14,14
19,SEBEEN,KOR,1,2,5,0.08,12.5,8
19,HOYOUNG,KOR,1,13,114,0.08,0.78,128
19,Eze,ITA,1,0,28,0.25,3.45,29
19,Allard,CAN,1,5,50,0.12,1.79,56
19,Gicquel,FRA,1,0,9,0.12,10.0,10
19,Kästner,GER,1,0,22,0.25,4.35,23
19,Jatzko,GER,1,2,2,0.25,20.0,5
19,Centka-Tietianiec,POL,1,10,42,0.09,1.89,53
19,Jurczyk,POL,1,3,74,0.09,1.28,78
19,Milenković,SRB,1,0,9,0.2,10.0,10
19,Kitamado,JPN,1,2,46,0.1,2.04,49
19,Jimerson,USA,1,2,19,0.2,4.55,22
19,Samedy,USA,1,3,18,0.2,4.55,22
20,Depie,FRA,0,1,7,0.0,0.0,8
20,Diouf,FRA,0,1,2,0.0,0.0,3
20,Mayer,FRA,0,0,9,0.0,0.0,9
20,Respaut,FRA,0,4,4,0.0,0.0,8
20,Biemel,FRA,0,0,0,,,0
20,Rotar,FRA,0,12,61,0.0,0.0,73
20,Gelin,FRA,0,0,0,,,0
20,Aköz,TUR,0,0,0,,,0
20,Akyol,TUR,0,0,0,,,0
20,Yatgın,TUR,0,0,0,,,0
20,P.Piyanut,THA,0,0,0,,,0
20,N.Jidapa,THA,0,0,0,,,0
20,J.Sasipaporn,THA,0,4,34,0.0,0.0,38
20,Szczygłowska,POL,0,0,0,,,0
20,Stefanik,POL,0,0,0,,,0
20,Łysiak,POL,0,0,0,,,0
20,Tang X.,CHN,0,1,19,0.0,0.0,20
20,Zou J.Q.,CHN,0,0,1,0.0,0.0,1
20,Shan L. Q.,CHN,0,0,0,,,0
20,Yang S. M.,CHN,0,3,37,0.0,0.0,40
20,Ni F.F.,CHN,0,0,0,,,0
20,Wang M.J.,CHN,0,0,0,,,0
20,Debouck,BEL,0,1,9,0.0,0.0,10
20,Rampelberg,BEL,0,0,0,,,0
20,Fransen,BEL,0,2,8,0.0,0.0,10
20,Verhelst,BEL,0,4,17,0.0,0.0,21
20,Van Elsen,BEL,0,1,4,0.0,0.0,5
20,Lyklema,NED,0,2,19,0.0,0.0,21
20,Reesink,NED,0,0,0,,,0
20,Kuipers,NED,0,0,3,0.0,0.0,3
20,Araki,JPN,0,3,33,0.0,0.0,36
20,Kojima,JPN,0,0,0,,,0
20,Yamada,JPN,0,5,44,0.0,0.0,49
20,Iwasawa,JPN,0,0,1,0.0,0.0,1
20,Nishimura,JPN,0,0,0,,,0
20,Tsukasa,JPN,0,0,34,0.0,0.0,34
20,Akimoto,JPN,0,9,18,0.0,0.0,27
20,Hentz,USA,0,0,0,,,0
20,Dodson,USA,0,2,8,0.0,0.0,10
20,Jarvis,USA,0,0,0,,,0
20,Lednicky,USA,0,5,29,0.0,0.0,34
20,S. Gray,USA,0,1,3,0.0,0.0,4
20,De Gennaro,ITA,0,0,0,,,0
20,Fersino,ITA,0,0,0,,,0
20,Malual,ITA,0,1,2,0.0,0.0,3
20,Y. Rodriguez,DOM,0,0,0,,,0
20,Marte,DOM,0,0,4,0.0,0.0,4
20,L. Martinez,DOM,0,0,0,,,0
20,Jegdić,SRB,0,0,0,,,0
20,Milojevic,SRB,0,0,0,,,0
20,Kirov,SRB,0,4,18,0.0,0.0,22
20,Gocanin,SRB,0,0,0,,,0
20,Mijatović,SRB,0,1,8,0.0,0.0,9
20,Jedlickova,CZE,0,3,6,0.0,0.0,9
20,Digrinova,CZE,0,0,0,,,0
20,Dostalova,CZE,0,0,0,,,0
20,Dite,CZE,0,1,2,0.0,0.0,3
20,Luzia,BRA,0,1,9,0.0,0.0,10
20,Kika,BRA,0,0,0,,,0
20,Lais,BRA,0,0,0,,,0
20,Slavcheva,BUL,0,3,60,0.0,0.0,63
20,Naneva,BUL,0,0,0,,,0
20,Karabasheva,BUL,0,0,0,,,0
20,Nikolova M.,BUL,0,4,12,0.0,0.0,16
20,Ninova,BUL,0,0,0,,,0
20,Watson,CAN,0,0,0,,,0
20,Murmann,CAN,0,0,0,,,0
20,Jost,CAN,0,0,0,,,0
20,Surinx,CAN,0,3,3,0.0,0.0,6
20,Andrews,CAN,0,2,2,0.0,0.0,4
20,DAHYE,KOR,0,0,0,,,0
20,Sarang,KOR,0,2,9,0.0,0.0,11
20,SUJIN,KOR,0,0,0,,,0
20,Cesar,GER,0,0,0,,,0
20,Pogany,GER,0,0,1,0.0,0.0,1
20,Glaab,GER,0,1,9,0.0,0.0,10
20,Strubbe,GER,0,5,26,0.0,0.0,31
20,Borowski,CAN,0,2,3,0.0,0.0,5
20,Çürük,TUR,0,0,3,0.0,0.0,3
20,K.Kuttika,THA,0,0,2,0.0,0.0,2
20,Blanc,FRA,0,1,0,0.0,0.0,1
20,Pezelj,FRA,0,0,2,0.0,0.0,2
20,Lanna,BRA,0,0,0,,,0
20,Tamaki,JPN,0,0,2,0.0,0.0,2
20,K.Kalyarat,THA,0,0,0,,,0
20,Nonaka,JPN,0,0,0,,,0
20,Daeun,KOR,0,2,6,0.0,0.0,8
20,Sartori,ITA,0,0,0,,,0
20,Fukudome,JPN,0,0,0,,,0
20,Shiode,JPN,0,0,7,0.0,0.0,7
20,Nishizaki,JPN,0,0,0,,,0
20,Georgiadis,CAN,0,0,0,,,0
20,Giardino,FRA,0,0,0,,,0
20,Stojiljkovic,FRA,0,1,3,0.0,0.0,4
20,Konijnenberg,NED,0,0,4,0.0,0.0,4
20,Schut,NED,0,0,2,0.0,0.0,2
20,Wessels,NED,0,0,0,,,0
20,Örge,TUR,0,0,0,,,0
20,Özbay,TUR,0,6,33,0.0,0.0,39
20,Güneş,TUR,0,8,85,0.0,0.0,93
20,Čajić,SRB,0,0,2,0.0,0.0,2
20,Tica,SRB,0,1,11,0.0,0.0,12
20,Rodriguez,USA,0,0,0,,,0
20,S.Kanokporn,THA,0,1,0,0.0,0.0,1
20,Kawabata,JPN,0,0,0,,,0
20,K.Kanyarat,THA,0,3,15,0.0,0.0,18
20,Pušić,SRB,0,0,0,,,0
20,Pavlova,CZE,0,0,6,0.0,0.0,6
20,Kolarova,CZE,0,0,0,,,0
20,Rejmanova,CZE,0,0,4,0.0,0.0,4
20,Gray,ITA,0,0,0,,,0
20,Bertels,BEL,0,1,4,0.0,0.0,5
20,Krenicky,BEL,0,0,1,0.0,0.0,1
20,Stigrot,GER,0,0,47,0.0,0.0,47
20,Kisal,TUR,0,4,36,0.0,0.0,40
20,Terrero,DOM,0,2,14,0.0,0.0,16
20,Heredia,DOM,0,2,7,0.0,0.0,9
20,De la Rosa,DOM,0,0,0,,,0
20,Yin X. L.,CHN,0,1,0,0.0,0.0,1
20,Fan B. N.,CHN,0,0,3,0.0,0.0,3
20,O'Neal,USA,0,3,20,0.0,0.0,23
20,Cuttino,USA,0,3,11,0.0,0.0,14
20,Guncheva,BUL,0,1,6,0.0,0.0,7
20,Pashkuleva,BUL,0,0,1,0.0,0.0,1
20,Nikolova,BUL,0,0,0,,,0
20,Kisy,BRA,0,0,5,0.0,0.0,5
20,Marcelle,BRA,0,0,0,,,0
20,Elouga,FRA,0,1,15,0.0,0.0,16
20,Hamming,NED,0,0,0,,,0
20,Miljevic,SRB,0,0,2,0.0,0.0,2
20,Mims,USA,0,1,9,0.0,0.0,10
20,Lanier,USA,0,0,1,0.0,0.0,1
